PLAYER_NAME,TEAM_ABBREVIATION,SEASON,PTS,NEXT_SEASON_PTS,PREDICTED_NEXT_SEASON_PTS,ERROR,ABS_ERROR,LOWER_CONFIDENCE_RANGE,UPPER_CONFIDENCE_RANGE,AGE,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,PLUS_MINUS,USG_PCT,TS_PCT,PACE,OFF_RATING,NET_RATING,TEAM_PACE,TEAM_OFF_RATING,TEAM_DEF_RATING,TEAM_NET_RATING,PTS_LAST_YEAR,MIN_LAST_YEAR,GP_LAST_YEAR,USG_LAST_YEAR,TS_LAST_YEAR,PTS_CHANGE,MIN_CHANGE,GP_CHANGE,USG_CHANGE,TS_CHANGE
Dyson Daniels,NOP,2023-24,354,1073.0,405.06503,667.9349670410156,667.9349670410156,186.44473,623.6853,21.0,61,1358.525,139,311,0.447,42,135,0.311,34,53,0.642,236,164,59,85,25,71,0.123,0.529,100.03,115.0,3.3,98.7,116.5,111.9,4.6,227.0,1042.125,59.0,0.113,0.503,127.0,316.4000000000001,2.0,0.009999999999999995,0.026000000000000023
Christian Braun,DEN,2023-24,600,1218.0,540.7528,677.2471923828125,677.2471923828125,322.1325,759.3731,23.0,82,1655.565,222,483,0.46,63,164,0.384,93,134,0.694,306,132,55,42,35,-13,0.152,0.554,98.91,110.0,0.7,97.43,117.8,112.3,5.5,360.0,1181.14,76.0,0.127,0.568,240.0,474.42499999999995,6.0,0.024999999999999994,-0.013999999999999901
Quentin Grimes,DET,2023-24,359,1092.0,401.3153,690.6846923828125,690.6846923828125,182.695,619.9356,24.0,51,1024.9433333333334,122,328,0.372,81,240,0.338,34,45,0.756,100,66,28,35,7,-39,0.155,0.516,97.78,108.1,-0.9,100.45,109.0,118.0,-9.0,799.0,2120.9066666666668,71.0,0.142,0.619,-440.0,-1095.9633333333334,-20.0,0.013000000000000012,-0.10299999999999998
Cam Thomas,BKN,2023-24,1482,599.0,1304.3541,-705.3541259765625,705.3541259765625,1085.7339,1522.9744,22.0,66,2074.85,526,1190,0.442,144,396,0.364,286,334,0.856,214,192,124,45,16,-201,0.296,0.554,99.74,111.5,-5.2,97.56,112.4,115.4,-2.9,604.0,947.5533333333333,57.0,0.268,0.567,878.0,1127.2966666666666,9.0,0.02799999999999997,-0.0129999999999999
Paul George,LAC,2023-24,1671,665.0,1377.7388,-712.73876953125,712.73876953125,1159.1184,1596.3591,34.0,74,2501.766666666667,582,1236,0.471,243,588,0.413,264,291,0.907,388,262,153,113,37,461,0.264,0.613,97.47,121.2,9.1,97.93,117.9,114.6,3.4,1332.0,1938.8916666666667,56.0,0.294,0.588,339.0,562.8750000000002,18.0,-0.02999999999999997,0.025000000000000022
Kawhi Leonard,LAC,2023-24,1613,796.0,1528.169,-732.1689453125,732.1689453125,1309.5486,1746.7893,33.0,68,2330.04,610,1162,0.525,140,336,0.417,253,286,0.885,416,244,119,111,59,392,0.261,0.626,97.77,119.3,8.2,97.93,117.9,114.6,3.4,1239.0,1747.4883333333332,52.0,0.267,0.623,374.0,582.5516666666667,16.0,-0.006000000000000005,0.0030000000000000027
Shai Gilgeous-Alexander,OKC,2023-24,2254,2484.0,1746.7455,737.2545166015625,737.2545166015625,1528.1252,1965.3657,25.0,75,2552.6866666666665,796,1487,0.535,95,269,0.353,567,649,0.874,415,465,162,150,67,613,0.317,0.636,102.45,121.0,11.3,100.85,118.3,111.0,7.3,2135.0,2415.985,68.0,0.318,0.626,119.0,136.70166666666637,7.0,-0.0010000000000000009,0.010000000000000009
Herbert Jones,NOP,2023-24,837,205.0,960.73303,-755.7330322265625,755.7330322265625,742.11273,1179.3533,25.0,76,2321.4283333333333,293,588,0.498,114,273,0.418,137,158,0.867,272,199,93,105,62,231,0.141,0.636,98.85,116.4,5.5,98.7,116.5,111.9,4.6,649.0,1950.53,66.0,0.144,0.567,188.0,370.8983333333333,10.0,-0.0030000000000000027,0.06900000000000006
Dejounte Murray,ATL,2023-24,1753,542.0,1298.4921,-756.4920654296875,756.4920654296875,1079.8718,1517.1123,27.0,78,2783.3433333333332,672,1463,0.459,201,554,0.363,208,262,0.794,416,502,201,111,24,-154,0.259,0.555,101.33,116.8,-2.7,100.84,116.4,118.4,-2.0,1515.0,2693.395,74.0,0.239,0.54,238.0,89.94833333333327,4.0,0.020000000000000018,0.015000000000000013
Zach LaVine,CHI,2023-24,487,1724.0,956.7793,767.220703125,767.220703125,738.159,1175.3997,29.0,25,871.8616666666667,170,376,0.452,59,169,0.349,88,103,0.854,129,98,52,21,8,-92,0.238,0.578,97.91,109.9,-5.4,96.94,114.0,115.7,-1.7,1913.0,2767.95,77.0,0.278,0.607,-1426.0,-1896.0883333333331,-52.0,-0.040000000000000036,-0.029000000000000026
James Harden,LAC,2023-24,1192,1802.0,956.6623,845.3377075195312,845.3377075195312,738.042,1175.2826,34.0,72,2469.6683333333335,352,822,0.428,186,488,0.381,302,344,0.878,369,614,185,77,57,291,0.202,0.612,96.87,120.9,5.6,97.93,117.9,114.6,3.4,1216.0,2135.005,58.0,0.247,0.607,-24.0,334.6633333333334,14.0,-0.044999999999999984,0.0050000000000000044
Brandon Ingram,NOP,2023-24,1332,400.0,1535.0195,-1135.01953125,1135.01953125,1316.3992,1753.6399,26.0,64,2102.68,500,1017,0.492,86,242,0.355,246,307,0.801,324,363,163,50,40,175,0.269,0.578,98.78,116.6,4.0,98.7,116.5,111.9,4.6,1112.0,1538.0766666666666,45.0,0.306,0.582,220.0,564.6033333333332,19.0,-0.03699999999999998,-0.0040000000000000036
Joel Embiid,PHI,2023-24,1353,452.0,1762.176,-1310.176025390625,1310.176025390625,1543.5557,1980.7964,30.0,39,1309.3716666666667,450,851,0.529,54,139,0.388,399,452,0.883,430,219,150,46,66,267,0.387,0.644,101.09,119.8,10.3,98.17,116.2,113.0,3.1,2183.0,2284.1066666666666,66.0,0.37,0.655,-830.0,-974.7349999999999,-27.0,0.017000000000000015,-0.01100000000000001
